"Name","Team","Ht","GP","MINS","OPPM","DPPM","PPM","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM.","MIDA","MID.","TPA","TP.","FTA","FT.","TS.","eFG."
"Justin McKoy","Hawaii","6-8",32,1003.581,2.2,-1.3,0.9,14.2,1.2,5.7,1.8,0.7,0.4,2.2,2.6,3.8,0.613,1.7,0.468,4.4,0.355,3.8,0.869,0.609,0.552
"Malik Reneau","Indiana","6-9",33,951.348,2.7,-1.8,0.9,18.6,2.2,5.1,3.2,0.7,0.7,3.4,3.8,9.8,0.637,1.6,0.302,1.6,0.333,5.2,0.683,0.601,0.579
"Jasen Green","Creighton","6-8",25,173.232,1.2,-0.3,0.9,8.2,4.8,4.2,1.5,0.2,0.2,1.7,1.9,4,0.789,0,0,1.5,0.286,1.3,0.5,0.676,0.692
"Kijani Wright","Southern California","6-9",28,332.649,0.8,0.1,0.9,11.5,3.8,4,1.2,0.3,0.7,1.9,3.6,5,0.667,3,0.448,0,0,2.9,0.714,0.609,0.584
"Karson Templin","Utah St.","6-8",21,145.098,-0.3,1.2,0.9,10.6,2.7,3.8,1.8,1.1,1.4,0.2,7,5,0.636,1.4,0.5,0.9,0,4.5,0.65,0.566,0.531
"Modestas Kancleris","CSU Bakersfield","6-9",30,650.133,-0.9,1.8,0.9,11.7,3.3,7.5,2.2,1.1,1.3,2.3,5.5,3.7,0.662,4,0.414,1.4,0.417,3,0.558,0.553,0.547
"Paris Dawson","Seattle U","6-2",34,799.116,-0.4,1.3,0.9,7.2,0.9,4.1,3.1,1.2,0.2,1.9,2.7,1.1,0.52,1.8,0.4,3.5,0.291,2.1,0.729,0.486,0.441
"Miro Little","Baylor","6-4",33,225.284,0.6,0.3,0.9,8.1,1.1,5,3.4,0.8,0,2.1,4.4,0.8,1,1.5,0.2,3.7,0.375,2.4,0.75,0.569,0.526
"Noah Feddersen","North Dakota St.","6-10",29,659.136,0.2,0.7,0.9,12.1,1.5,5,1.4,0.9,0.6,1.7,2.8,3.7,0.716,1.4,0.538,2.9,0.396,2.9,0.635,0.644,0.64
"Reese McMullen","Penn","6-3",20,216.716,1.9,-1,0.9,11.1,1.6,3.7,3.5,0.9,0.2,1.8,2.5,3.2,0.667,0.7,0.25,5.6,0.344,1.1,0.667,0.554,0.546
"TJ Power","Duke","6-9",25,174.785,0.7,0.2,0.9,10.8,1,2.8,1,1,0.8,0.8,2.6,1.2,0.333,0.6,0,8.3,0.357,1.4,0.857,0.506,0.48
"Pryce Sandfort","Iowa","6-6",32,274.199,1.1,-0.2,0.9,8.8,0.4,3.8,1.7,0.5,0.5,0.4,2.5,1.8,0.267,1.1,0.556,5.9,0.347,0.7,0.667,0.481,0.473
"Tyler Cochran","Toledo","6-2",32,948.284,1.3,-0.4,0.9,16.2,1.8,5.4,2.4,2.2,0.2,2.5,2.9,5.6,0.57,4.6,0.5,2.9,0.346,3.3,0.702,0.556,0.534
"Sam Hoiberg","Nebraska","6-0",34,668.897,-0.8,1.7,0.9,5.9,1,4.1,2.9,1.6,0.2,1.2,3.5,2.3,0.5,0.3,0,2.5,0.306,2,0.684,0.495,0.454
"Trent Stephney","UNC Asheville","6-2",29,496.6,0,0.9,0.9,9,0.8,3,2.7,1.9,0.2,1.3,3.5,1.5,0.571,0.6,0.333,4,0.421,2.8,0.65,0.604,0.586
"Walyn Napper","Longwood","6-1",30,943.701,1,-0.1,0.9,15.6,1.2,3.1,5,1.7,0.3,3.2,2.6,6.6,0.539,4.3,0.415,3,0.241,4.4,0.623,0.488,0.462
"Patrick McMahon","Montana St.","6-7",2,57.733,1,-0.1,0.9,15.8,0.6,3.8,0.6,0.6,0,1.3,2.5,4.4,0.714,4.4,0.714,1.3,0,3.8,0.833,0.663,0.625
"Jadrian Tracey","Oregon","6-5",36,963.985,0.9,-0.1,0.8,9.9,1.3,3.4,2.3,1.1,0.2,1.7,3.2,3.3,0.511,1.6,0.356,3.7,0.359,1.6,0.778,0.52,0.494
"Alex Hemenway","Clemson","6-3",5,77.65,0.6,0.2,0.8,11.5,0,1.3,3.1,0.9,0.4,1.8,2.2,0.9,0,0,0,8.4,0.421,1.8,0.5,0.568,0.571
