"Team","Ortg","DRTG","Rtg","EFG%","dEFG%","TO%","dTO%","ORB%","DRB%","FTR","dFTR"
"Merrimack",-3.9,3.4,-0.5,48.5,47.8,14.6,20.7,20.1,65,26.9,30.6
"Princeton",-0.4,-0.2,-0.5,50.6,51.6,15.7,17.1,23.6,76.2,28.1,31.8
"Miami (FL)",4.5,-5.1,-0.6,52.1,53.8,15.5,15.4,27.6,74,27.5,28.1
"Seattle U",-2.6,2.1,-0.6,47.2,51,15.9,18.6,27.2,76.6,37.8,34.3
"Lamar University",-3.3,2.5,-0.8,47.9,47.9,17.3,16.8,30.8,72.8,28,32.9
"Maine",-2.8,2,-0.8,50.4,50.5,16.2,19.1,19.7,69.8,29.6,30.5
"UMass Lowell",3.9,-4.8,-0.8,53.6,51.7,17.7,14.8,24.1,71,30.9,27.4
"New Mexico St.",-2.4,1.5,-0.9,47,46,15.4,15.1,30.1,73.8,32.2,35.8
"Nicholls",-0.6,-0.4,-1,48,48.6,14.4,16.3,28.6,73.8,32.8,35.2
"Manhattan",2.6,-3.7,-1.1,50,51.1,16.2,15.3,28.5,70,29.9,28
"Dartmouth",-3.3,2,-1.3,49.1,48,16.7,14.8,22.2,77.2,31,26.4
"SIUE",-3.5,2.2,-1.3,48,47.5,16.4,16.3,27.2,72.9,30.9,31.8
"UTEP",-3.2,1.9,-1.3,49.6,51.3,16.4,20.2,23.4,71,35.3,37.1
"Bucknell",-1.7,0.3,-1.4,51.9,49.6,18.2,16.5,24.1,74,35.2,35.6
"Quinnipiac",-3.6,2.2,-1.4,47.5,49.9,17.7,16.5,28.6,76.3,31,30.2
"Youngstown St.",-3.2,1.8,-1.4,47.8,48.9,16.9,17.5,26.4,72.9,34.5,33.8
"UNC Asheville",2.1,-3.6,-1.5,50.1,51.6,15.4,16.7,28.1,70,32.5,34.8
"Oakland",0.2,-1.8,-1.6,49,50.5,16.8,16.2,30.8,71.2,31.2,27
"Sacred Heart",1.7,-3.2,-1.6,50.5,52.3,16.9,16.2,27.1,72.5,27.3,29.5
"William & Mary",1.2,-2.8,-1.6,52.3,52.8,17.6,16.9,23.6,72.1,34.1,33.7
"Brown",-2.7,1.1,-1.7,49.5,48.5,17.5,15.7,27.8,72.8,30.6,28.7
